smiles,AR
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,1.55195731063364
[Na+].COC1=CC=C(C=C1)C(=O)C(\Br)=C/C([O-])=O,1.49446571048556
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,1.61943929045589
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,1.7627437404249
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,1.82235314212721
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,1.51526417084514
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,1.72798683317628
CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,1.5949696801221
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2,0.667650084781032
CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,1.60205999132796
OS(O)(=O)=O.COC1=C(N)C=C(N)C=C1,1.54038177511708
NC1=CC=C(C=C1)\N=N\C1=CC=C(N)C=C1,1.33499692194545
Cl.Cl.NC1=CC=C(O)C(N)=C1,1.65321251377534
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,1.47166179772468
C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1,-0.106520494290084
CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,-0.0277688197432201
OC(=O)C(\Cl)=C(\Cl)C=O,1.84290245882895
CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,1.39456154293045
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,1.01927321287619
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,1.69897000433602
NC1=CC(Cl)=C(N)C(Cl)=C1,1.8417716203038
NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1,1.41661460351834
Cl.Cl.NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(N)C=C1,1.50882935333443
ClC1=CC(Cl)=C(OS(=O)(=O)C2=CC=CC=C2)C=C1,1.48106740128738
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,1.67880420492354
S=C(NC1CCCCC1)NC1CCCCC1,1.26447514730026
[H][C@]12O[C@@]1([H])[C@@]1([H])C[C@]2([H])[C@@]2([H])[C@]1([H])[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,1.79728668468709
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,1.86049170955416
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1.76658706136656
C(OC1=CC(OCC2CO2)=CC=C1)C1CO1,1.80903226609469
Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1,1.54406804435028
CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1,1.65108070630144
COC(=O)C1=CC=C(C=C1)C(=O)OC,1.44540685321025
Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1.51507605841323
CC1(C)C(=O)NC(=O)NC1=O,1.78390719367884
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,1.52228161262128
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,1.52119991705462
C[NH2+]C.CN(C)C([S-])=S,0.362708706249313
CN(C)N,1.87533013883602
OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,1.57439059645664
S=C(SSSSSSC(=S)N1CCCCC1)N1CCCCC1,0.554226279656827
Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,1.72979743826053
N(C1=CC=CC=C1)C1=CC=C(NC2=CC=CC=C2)C=C1,1.40855442100668
N#CC(C1=CC=CC=C1)C1=CC=CC=C1,1.34164786183545
O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,1.66875830943079
CC(O)=O.CCCCCCCCCCCCNC(N)=N,-0.103468158793036
Cl.NCCC1=CC=C(O)C(O)=C1,1.65321251377534
