set_,metric,score,epoch
training,true_positives,0.0,36
training,false_positives,0.0,36
training,true_negatives,0.0,36
training,false_negatives,0.0,36
training,rmse,43.83588267934289,36
validation,true_positives,0.0,37
validation,false_positives,0.0,37
validation,true_negatives,0.0,37
validation,false_negatives,0.0,37
validation,rmse,25.944690973878686,37
training,true_positives,0.0,37
training,false_positives,0.0,37
training,true_negatives,0.0,37
training,false_negatives,0.0,37
training,rmse,40.38901098232415,37
validation,true_positives,0.0,38
validation,false_positives,0.0,38
validation,true_negatives,0.0,38
validation,false_negatives,0.0,38
validation,rmse,25.987711606268096,38
training,true_positives,0.0,38
training,false_positives,0.0,38
training,true_negatives,0.0,38
training,false_negatives,0.0,38
training,rmse,37.54398842105292,38
validation,true_positives,0.0,39
validation,false_positives,0.0,39
validation,true_negatives,0.0,39
validation,false_negatives,0.0,39
validation,rmse,25.663333460987573,39
training,true_positives,0.0,39
training,false_positives,0.0,39
training,true_negatives,0.0,39
training,false_negatives,0.0,39
training,rmse,38.225470493052704,39
validation,true_positives,0.0,40
validation,false_positives,0.0,40
validation,true_negatives,0.0,40
validation,false_negatives,0.0,40
validation,rmse,25.83243489068267,40
training,true_positives,0.0,40
training,false_positives,0.0,40
training,true_negatives,0.0,40
training,false_negatives,0.0,40
training,rmse,42.1861399811322,40
validation,true_positives,0.0,41
validation,false_positives,0.0,41
validation,true_negatives,0.0,41
validation,false_negatives,0.0,41
validation,rmse,26.037984989702498,41
training,true_positives,0.0,41
training,false_positives,0.0,41
training,true_negatives,0.0,41
training,false_negatives,0.0,41
training,rmse,43.13680289620782,41
validation,true_positives,0.0,42
validation,false_positives,0.0,42
validation,true_negatives,0.0,42
validation,false_negatives,0.0,42
validation,rmse,26.629974703421894,42
training,true_positives,0.0,42
training,false_positives,0.0,42
training,true_negatives,0.0,42
training,false_negatives,0.0,42
training,rmse,45.096070648356786,42
validation,true_positives,0.0,43
validation,false_positives,0.0,43
validation,true_negatives,0.0,43
validation,false_negatives,0.0,43
validation,rmse,26.430367979032432,43
training,true_positives,0.0,43
training,false_positives,0.0,43
training,true_negatives,0.0,43
training,false_negatives,0.0,43
training,rmse,44.47384970698289,43
validation,true_positives,0.0,44
validation,false_positives,0.0,44
validation,true_negatives,0.0,44
validation,false_negatives,0.0,44
validation,rmse,25.965683629918523,44
training,true_positives,0.0,44
training,false_positives,0.0,44
training,true_negatives,0.0,44
training,false_negatives,0.0,44
training,rmse,43.87363642535912,44
validation,true_positives,0.0,45
validation,false_positives,0.0,45
validation,true_negatives,0.0,45
validation,false_negatives,0.0,45
validation,rmse,25.81465893108813,45
training,true_positives,0.0,45
training,false_positives,0.0,45
training,true_negatives,0.0,45
training,false_negatives,0.0,45
training,rmse,38.818215262035366,45
validation,true_positives,0.0,46
validation,false_positives,0.0,46
validation,true_negatives,0.0,46
validation,false_negatives,0.0,46
validation,rmse,26.26826208202152,46
training,true_positives,0.0,46
training,false_positives,0.0,46
training,true_negatives,0.0,46
training,false_negatives,0.0,46
training,rmse,38.52802034528915,46
validation,true_positives,0.0,47
validation,false_positives,0.0,47
validation,true_negatives,0.0,47
validation,false_negatives,0.0,47
validation,rmse,25.994394873600328,47
training,true_positives,0.0,47
training,false_positives,0.0,47
training,true_negatives,0.0,47
training,false_negatives,0.0,47
training,rmse,40.99644756712452,47
validation,true_positives,0.0,48
validation,false_positives,0.0,48
validation,true_negatives,0.0,48
validation,false_negatives,0.0,48
validation,rmse,25.973106331972716,48
training,true_positives,0.0,48
training,false_positives,0.0,48
training,true_negatives,0.0,48
training,false_negatives,0.0,48
training,rmse,41.19091226527006,48
validation,true_positives,0.0,49
validation,false_positives,0.0,49
validation,true_negatives,0.0,49
validation,false_negatives,0.0,49
validation,rmse,25.888257066083685,49
training,true_positives,0.0,49
training,false_positives,0.0,49
training,true_negatives,0.0,49
training,false_negatives,0.0,49
training,rmse,42.34324886169217,49
validation,true_positives,0.0,50
validation,false_positives,0.0,50
validation,true_negatives,0.0,50
validation,false_negatives,0.0,50
validation,rmse,26.041763072383304,50
training,true_positives,0.0,50
training,false_positives,0.0,50
training,true_negatives,0.0,50
training,false_negatives,0.0,50
training,rmse,42.38016128660318,50
validation,true_positives,0.0,51
validation,false_positives,0.0,51
